ticker,name,category,expense_ratio
ORAN,ORANGE F SPONSORED ADR 1 ADR REPS 1 ORD SHS,Intl Large Blend,0.0
ORCL,Oracle Corp,US Large Growth,0.0
ORI,"Old Republic International Corp(USD,ORI)",US Mid Value,0.0
orly,"O'Reilly Automotive Inc(USD,ORLY)",US Large Growth,0.0
OSMAX,Oppenheimer International Small-Mid Company Fund Class A,Intl Mid Growth,0.0138
OSMYX,Invesco International Small-Mid Com Y,Intl Mid Growth,0.0107
MLKN,MillerKnoll Inc,US Small Value,0.0
OTSKY,OTSUKA HLDGS CO LTD F SPONSORED ADR 1 ADR REPS 0.5 ORD SHS,Intl Large Blend,0.0
OUSA,O'Shares FTSE US Quality Dividend ETF,US Large Value,0.0048
ANAYX,AB GLOBAL BOND FUND- ADV(1),World Bond,0.0058
OUSM,O'Shares FTSE Russell Sm Cp Qual Div,US Mid Blend,0.0048
OXY,Occidental Petroleum Corp,US Large Blend,0.0
PAA,Plains All American Pipeline LP,US Mid Value,0.0
PAAIX,PIMCO VIT ALL ASST,** 53 Short-Term Inv. Grade / 47 Cash **,0.0131
PAEMX,"PIMCO Emerging Markets Bond A(USD,PAEMX)",Emerging Market Debt,0.0121
PANW,Palo Alto Networks Inc,US Large Growth,0.0
PARMX,PARNASSUS MID CAP FUND,US Mid Blend,0.0099
PASAX,PIMCO All Asset A,**20% US Large Value 20% Intl Large Value 60% Int-Term Inv. Grade**,0.0138
PASDX,PIMCO All Asset Class D,** .09 US Large Value / .29 Intl Large Value / .62 Int-Term Inv. Grade **,0.0132
ANCFX,American Funds Fundamental Invs A,US Large Blend,0.006
PASVX,T. Rowe Price Small-Cap Value Adv,US Small Blend,0.011
PAYC,PAYCOM SOFTWARE INC,US Mid Growth,0.0
PAYX,Paychex Inc,US Large Growth,0.0
PBA,"Pembina Pipeline Corp(USD,PBA)",US Large Growth,0.0
PBCT,"People's United Financial Inc(USD,PBCT)",US Mid Value,0.0
pbyi,"Puma Biotechnology Inc(USD,PBYI)",US Small Blend,0.0
EVCGX,Eaton Vance Greater China Growth Fund,Emerging Large Growth,0.000143
PCAR,PACCAR Inc,US Large Blend,0.0
PCBIX,"Principal MidCap Institutional(USD,PCBIX)",US Mid Growth,0.0068
PCG,"PG&E Corp(USD,PCG)",US Large Value,0.0
PCK,PIMCO CA Municipal Income II,Municipal Bond,0.0149
ANDX,Andeavor Logistics LP,US Mid Value,0.0
PCN,PIMCO Corporate & Income Strategy,High Yield,0.0117
PCRAX,"PIMCO Commodity Real Ret Strat A(USD,PCRAX)",Commodities,0.0119
PCRIX,PIMCO Commodity Real Ret Strat Instl,Commodities,0.0124
PDBC,"Invesco Optm Yd Dvrs Cdty Stra No K1 ETF(USD,PDBC)",Commodities,0.0059
PDBZX,PGIM Total Return Bond Z,Int-Term Inv. Grade,0.0051
GAAEX,Guinness Atkinson Alternative Energy,** 50 US Mid Blend / 40 Intl Mid Blend / 10 Emerging Mid Blend **,0.0198
pdrdy,"Pernod Ricard SA ADR(USD,PDRDY)",Intl Large Growth,0.0
PDVYX,Putnam Diversified Income Y,High Yield,0.0075
PEG,"Public Service Enterprise Group Inc(USD,PEG)",US Large Value,0.0
PEGZX,"PGIM Jennison Mid-Cap Growth Z(USD,PEGZX)",US Mid Growth,0.0076
PENNX,Royce Pennsylvania Mutual Invmt,**.87 US Small Blend / .13 Intl Small Blend **,0.0093
ANET,Arista Networks Inc,US Large Growth,0.0
PEO,Adam Natural Resource Fund,Commodities,0.0078
PEP,PepsiCo Inc,US Large Value,0.0
PEQSX,"Putnam Equity Income R6(USD,PEQSX)",US Large Value,0.0055
PEY,"PowerShares High Yld Eq Div Achiev™ ETF(USD,PEY)",US Large Value,0.0054
GCC,"WisdomTree Continuous Commodity ETF(USD,GCC)",Commodities,0.0075
PEYAX,"Putnam Equity Income A(USD,PEYAX)",US Large Value,0.0091
PFE,Pfizer Inc,US Large Value,0.0
PFF,iShares U.S. Preferred Stock ETF,Preferred Stock,0.0045
PFFD,Global X US Preferred ETF,Preferred Stock,0.0023
PFFVF,"Pfeiffer Vacuum Technology AG(USD,PFFVF)",Intl Large Growth,0.0
PFG,Principal Financial Group Inc,US Mid Value,0.0
